First name;Gender;Age;Salary;loaned_sum;Period;Interest rate;DAE;Monthly payment;Total_amount;Score;Eligibility
Janaya;Female;30;1215;41004;1;9,75;14,76;3451,539368;44834,86788;33;no
Lilia;Female;36;5526;99743;1;8,99;14;8380,723738;108537,6147;43;no
Grove;Male;48;8650;19838;4;10,49;12,5;421,1929116;21938,68621;69;yes
Hewett;Male;25;8899;44125;3;9,75;11,76;1236,005067;48309,66506;77;yes
Farlee;Male;59;8358;49299;2;9,75;12,76;2069,436119;53880,18865;75;yes
Cortney;Female;53;10690;118947;2;8,99;12;4981,620537;129495,6199;95;yes
Darsie;Female;23;5691;10691;3;10,49;12,5;304,8350521;11984,36567;27;no
Kenneth;Male;53;2061;86614;4;8,99;11;1814,831616;94588,96181;49;no
Gill;Male;30;9689;11270;4;10,49;12,5;242,3036654;12624,01509;69;yes
Sibyl;Male;21;4647;80316;3;8,99;11;2243,557425;87648,76696;47;no
Olag;Male;58;5530;21099;4;9,75;11,76;447,4535514;23315,6225;39;no
Shelbi;Female;26;2289;55019;4;8,99;11;1155,371945;60220,46672;49;no
Delmor;Male;47;3557;99800;2;8,99;12;4180,851628;108710,4403;45;no
Mignon;Female;32;10288;71816;2;8,99;12;3010,500286;78332,18447;95;yes
Upton;Male;56;4305;47736;3;9,75;11,76;1336,58155;52232,6925;37;no
Dulcia;Female;20;2839;103800;4;8,99;11;2173,542611;113283,5957;49;no
Ealasaid;Female;27;4882;65130;1;8,99;14;5474,858667;71001,69633;43;no
Silas;Male;41;11859;26987;4;9,75;11,76;570,3688796;29718,44506;89;yes
Nickolas;Male;42;1530;14305;1;10,49;15,5;1209,413823;15882,5943;23;no
Brandais;Female;38;11955;81207;5;8,99;11;1362,474885;88797,651;100;yes
Emelita;Female;43;1059;16320;5;10,49;12,5;279,4747167;18129,66254;30;no
Marietta;Female;32;2020;91654;4;8,99;11;1920,027904;100071,3867;49;no
Jerrie;Male;39;10303;14415;4;10,49;12,5;307,9673768;16043,0908;79;yes
Windham;Male;59;6302;18253;3;10,49;12,5;515,5009078;20198,15864;57;yes
Dermot;Male;18;1718;40712;5;9,75;11,76;686,6341612;44685,25865;40;no
Daloris;Female;24;3743;102416;4;8,99;11;2144,655376;111778,1044;49;no
Lexi;Female;20;4667;27678;3;9,75;11,76;777,9099661;30441,47558;37;no
Mavra;Female;49;8680;85845;4;8,99;11;1798,780833;93752,4569;89;yes
Alaster;Male;30;3054;101904;3;8,99;11;2844,717862;111107,807;47;no
Mac;Male;58;5809;9852;2;10,49;13,5;419,2864189;11063,65777;25;no
Hallsy;Male;52;6891;27733;5;9,75;11,76;469,9665502;30558,11635;70;yes
Arlan;Male;20;9484;96838;5;8,99;11;1623,381309;105818,1698;90;yes
Lexine;Female;33;2763;107720;4;8,99;11;2255,361946;117547,7039;49;no
Anissa;Female;48;1236;44601;2;9,75;12,76;1872,894102;48781,05173;35;no
Rosalynd;Female;44;10971;58890;3;8,99;11;1646,908197;64365,76752;97;yes
Frannie;Female;60;3848;12797;1;10,49;15,5;1082,65814;14247,49007;23;no
Gusella;Female;40;7727;24351;5;9,75;11,76;413,5084363;26876,93942;70;yes
Agnese;Female;55;3352;21933;1;9,75;14,76;1849,480781;24155,05788;33;no
Danya;Male;49;9871;33194;5;9,75;11,76;561,130879;36502,20481;80;yes
Aldrich;Male;21;4305;74773;4;8,99;11;1567,682954;81708,5266;49;no
Hasheem;Male;53;9665;82635;1;8,99;14;6944,455872;89984,91797;83;yes
Isiahi;Male;52;5830;3107;2;10,49;13,5;137,0217117;3743,71457;25;no
Hedvig;Female;33;5759;24348;5;9,75;11,76;413,4583552;26873,67404;40;no
Kilian;Male;51;9419;110959;2;8,99;12;4647,545118;120824,1823;85;yes
Jae;Male;36;7236;120553;3;8,99;11;3364,036048;131373,1228;77;yes
Clea;Female;35;6491;109880;3;8,99;11;3066,825313;119775,0899;77;yes
Brigit;Female;50;10119;31360;2;9,75;12,76;1318,953522;34409,47404;85;yes
Fania;Female;53;3809;86817;2;8,99;12;3637,874517;94616,64043;45;no
Stillman;Male;35;9428;15410;2;10,49;13,5;651,8775595;17095,4212;65;yes
Eddy;Female;42;9274;21773;1;9,75;14,76;1836,039988;23981,56045;73;yes
Isabella;Female;25;11456;3987;5;10,49;12,5;73,56597399;4710,12798;80;yes
Angelo;Male;45;11190;70226;1;8,99;14;5902,683138;76528,03152;93;yes
Milissent;Female;18;2531;117242;3;8,99;11;3271,834723;127775,1572;47;no
Claudell;Male;38;11901;80720;5;8,99;11;1354,346075;88267,3591;100;yes
Selina;Female;33;11745;18013;4;10,49;12,5;383,0891681;19954,64387;79;yes
Dickie;Male;37;9665;23030;4;9,75;11,76;487,7642679;25415,46122;79;yes
Hiram;Male;53;11649;56563;1;8,99;14;4755,633345;61711,25019;93;yes
Fabian;Male;36;5029;13342;2;10,49;13,5;565,3359116;14851,14506;25;no
Marty;Male;51;1664;20756;1;9,75;14,76;1750,606944;22878,76737;33;no
Rowe;Female;30;6358;26323;1;9,75;14,76;2218,262554;28915,39378;63;yes
Odella;Female;48;5786;63704;2;8,99;12;2671,238919;69526,13775;45;no
Aili;Female;36;3275;65274;4;8,99;11;1369,417171;71375,67853;49;no
Garret;Male;25;8086;111787;5;8,99;11;1872,90406;122096,0622;90;yes
Rickie;Male;24;1269;66201;3;8,99;11;1850,497411;72310,41463;47;no
Mycah;Male;50;2138;50331;2;8,99;12;2111,951165;55008,97025;45;no
Moishe;Male;52;3014;103563;1;8,99;14;8701,424185;112680,1972;43;no
Mal;Male;55;2641;54594;1;8,99;14;4590,329895;59575,97664;43;no
Findley;Male;53;6306;48159;4;9,75;11,76;1012,346347;52741,63788;69;yes
Latisha;Female;59;4711;61040;5;8,99;11;1025,855357;66837,90415;50;no
Twyla;Female;43;9449;117628;2;8,99;12;4926,457107;128063,7688;85;yes
Eugen;Male;21;3413;79981;1;8,99;14;6721,644619;87106,79913;43;no
Carlyn;Female;41;3552;99198;3;8,99;11;2769,363955;108167,277;47;no
Zebulon;Male;36;8920;59882;4;8,99;11;1256,87384;65510,3541;89;yes
Ragnar;Male;54;10302;43073;2;9,75;12,76;1808,969836;47122,58404;85;yes
Flori;Female;47;3438;15077;1;10,49;15,5;1274,304663;16719,66357;23;no
Chadwick;Male;31;2171;83747;3;8,99;11;2339,100387;91377,13302;47;no
Norbie;Male;59;7088;23477;1;9,75;14,76;1979,184439;25829,30814;63;yes
Dorella;Female;28;3065;80283;3;8,99;11;2242,638475;87612,90684;47;no
Skipp;Male;38;2826;17514;1;10,49;15,5;1479,147899;19362,07007;23;no
Malinda;Female;30;4612;15698;2;10,49;13,5;663,9297812;17407,97029;25;no
Witty;Male;52;6897;18751;2;10,49;13,5;791,6917013;20721,20774;55;yes
Hammad;Male;60;4361;38463;2;9,75;12,76;1616,109322;42118,96096;35;no
Dwain;Male;34;3449;35520;4;9,75;11,76;748,500078;38997,53558;39;no
Sarita;Female;44;10062;85019;3;8,99;11;2374,521735;92759,37774;97;yes
Suzanna;Female;45;11499;22928;4;9,75;11,76;485,6349602;25304,54276;89;yes
Stephen;Male;58;5361;11566;5;10,49;12,5;200,1030989;12956,83619;30;no
Lydia;Female;41;5898;97426;2;8,99;12;4081,565819;106133,3255;45;no
Rudolfo;Male;19;6974;67074;1;8,99;14;5638,063293;73109,85873;73;yes
Anissa;Female;55;8290;23520;5;9,75;11,76;399,6359666;25972,42788;80;yes
Cazzie;Male;35;1473;105754;3;8,99;11;2951,928705;115291,488;47;no
Lurette;Female;45;2883;104531;4;8,99;11;2188,800247;114078,7648;49;no
Tersina;Female;27;7397;39649;5;9,75;11,76;668,8887516;43528,22404;70;yes
Keen;Male;29;2259;92565;5;8,99;11;1552,058095;101165,3212;50;no
Guenevere;Female;21;2026;39281;5;9,75;11,76;662,7454678;43127,67019;40;no
Nicolis;Male;42;2473;118881;5;8,99;11;1991,314281;129820,6838;50;no
Jessey;Male;44;8830;101890;1;8,99;14;8560,970821;110865,9195;83;yes
Tonnie;Male;55;7201;70752;5;8,99;11;1187,964191;77413,25306;80;yes
Donni;Female;60;8667;7231;5;10,49;12,5;127,7270022;8239,923658;70;yes
Hanna;Female;34;5364;8841;5;10,49;12,5;154,6071673;9991,7643;30;no
Clemence;Female;53;7551;56148;3;8,99;11;1570,551799;61386,11735;77;yes
Aile;Female;19;9515;45653;5;9,75;11,76;769,1177628;50063,34712;80;yes
Jasen;Male;55;7575;23061;1;9,75;14,76;1944,238376;25378,21481;63;yes
Zacharia;Male;31;11864;5896;5;10,49;12,5;105,4381697;6787,310455;80;yes
Kerrin;Female;37;5605;21494;3;9,75;11,76;605,6682134;23723,11455;37;no
Eartha;Female;52;11910;106949;5;8,99;11;1792,150092;116827,9879;100;yes
Reinhold;Male;27;3471;9424;2;10,49;13,5;401,3754783;10599,17509;25;no
Shelagh;Female;49;6358;83020;5;8,99;11;1392,736759;90771,81776;80;yes
Esdras;Male;42;10693;74036;3;8,99;11;2068,678439;80824,47701;97;yes
Rock;Male;46;11900;103029;2;8,99;12;4315,895385;112215,7072;95;yes
Chrissie;Female;41;4238;65015;1;8,99;14;5465,204073;70876,98508;43;no
Hasty;Male;55;7220;74213;5;8,99;11;1245,733824;81181,91889;80;yes
Inglebert;Male;23;4508;54268;1;8,99;14;4562,961218;59222,44735;43;no
Lowell;Male;37;5248;102090;4;8,99;11;2137,851013;111423,4872;49;no
Lucie;Female;52;7962;11995;2;10,49;13,5;508,9666662;13389,3269;55;yes
Deni;Female;33;7314;107003;1;8,99;14;8990,222493;116410,6903;73;yes
Jobey;Female;41;2419;80705;5;8,99;11;1354,095701;88251,02568;50;no
Adore;Female;37;7690;44849;1;9,75;14,76;3774,538438;49004,22814;63;yes
Adelle;Female;33;3783;11460;3;10,49;12,5;326,2582263;12819,64824;27;no
Gladi;Female;38;1773;80270;4;8,99;11;1682,417874;87688,06822;49;no
Eli;Male;60;5486;32603;4;9,75;11,76;687,6060541;35825,48506;39;no
Celestine;Female;21;6755;20657;5;9,75;11,76;351,8418861;22856,1625;70;yes
Damita;Female;57;2397;42767;4;9,75;11,76;899,7852994;46878,18353;39;no
Gwenette;Female;60;11794;71885;2;8,99;12;3013,386015;78407,08797;95;yes
Bertrando;Male;32;11508;20174;3;9,75;11,76;568,9025094;22289,05301;87;yes
Isacco;Male;47;8519;38596;2;9,75;12,76;1621,67341;42263,31712;75;yes
Hilary;Female;47;5055;117219;3;8,99;11;3271,194242;127750,1638;47;no
Minnie;Female;60;6187;52226;5;8,99;11;878,7355814;57240,38302;80;yes
Douglass;Male;51;2327;112159;4;8,99;11;2348,013995;122376,3714;49;no
Addy;Male;35;4328;28212;5;9,75;11,76;477,9628354;31079,48942;40;no
Shanon;Female;40;3351;62170;4;8,99;11;1304,629616;67999,20096;49;no
Duke;Male;51;7247;87989;2;8,99;12;3686,890089;95888,91444;75;yes
Herman;Male;18;9923;61005;2;8,99;12;2558,360907;66596,21663;85;yes
Gino;Male;33;4579;17642;2;10,49;13,5;745,282278;19517,67668;25;no
Ailbert;Male;55;3550;7585;4;10,49;12,5;165,3654216;8617,880284;29;no
Patton;Male;46;8161;108621;3;8,99;11;3031,765975;118406,9719;87;yes
Dexter;Male;23;5585;87242;3;8,99;11;2436,425555;95175,04598;47;no
Merle;Female;49;8687;121014;4;8,99;11;2532,83803;132008,6874;89;yes
Shantee;Female;51;2307;73369;3;8,99;11;2050,104508;80099,66787;47;no
Worthington;Male;23;9910;41523;5;9,75;11,76;700,1727568;45568,00096;80;yes
Gilburt;Male;44;1596;27198;5;9,75;11,76;461,0354174;29975,78942;40;no
Dell;Male;21;4141;63448;3;8,99;11;1773,834696;69318,81109;47;no
Kelly;Male;28;6406;25854;2;9,75;12,76;1088,608621;28433,34635;65;yes
Mariel;Female;36;4276;81814;4;8,99;11;1714,644674;89367,60475;49;no
Trude;Female;20;3359;2636;4;10,49;12,5;62,03642075;3237,592311;29;no
Nico;Male;44;11373;58496;1;8,99;14;4917,914488;63807,48369;93;yes
Danila;Female;45;4793;26148;5;9,75;11,76;443,5070261;28832,90481;40;no
Dominic;Male;37;8518;104166;1;8,99;14;8752,047842;113334,1179;83;yes
Buddy;Male;26;11516;35733;2;9,75;12,76;1501,899082;39155,86096;85;yes
Charil;Female;46;7606;31592;4;9,75;11,76;666,5008576;34726,08737;69;yes
Vanya;Male;23;1398;113918;2;8,99;12;4771,296891;124036,3485;45;no
Pierson;Male;49;5110;43912;4;9,75;11,76;923,6878216;48123,29763;39;no
Vivyan;Female;43;10962;13491;5;10,49;12,5;232,2424267;15051,42827;80;yes
Leonanie;Female;40;4371;94383;2;8,99;12;3954,300984;102829,9725;45;no
Palm;Male;23;3114;54004;2;8,99;12;2265,563961;58996,22488;45;no
Herta;Female;41;5238;102985;2;8,99;12;4314,05521;112167,9426;45;no
Cointon;Male;54;7427;103620;1;8,99;14;8706,209505;112742,0106;73;yes
Whitaker;Male;57;3054;99716;5;8,99;11;1671,419738;108952,0098;50;no
Otto;Male;26;8069;107831;5;8,99;11;1806,872084;117788,3933;90;yes
Gearard;Male;48;3556;28151;4;9,75;11,76;594,6680376;30984,22045;39;no
Lotty;Female;19;10851;44955;5;9,75;11,76;757,465556;49303,60096;90;yes
Thorstein;Male;49;10619;122317;5;8,99;11;2048,666624;133562,1273;100;yes
Gabriell;Female;21;1608;98192;3;8,99;11;2741,349901;107074,0866;47;no
Margy;Female;54;6181;40439;5;9,75;11,76;682,0767794;44388,10865;70;yes
Thornton;Male;58;2926;76727;1;8,99;14;6448,461568;83578,01289;43;no
Bertine;Female;49;7970;90652;3;8,99;11;2531,38373;98880,59195;77;yes
Julianne;Female;26;8725;103309;3;8,99;11;2883,842858;112634,5789;87;yes
Nathaniel;Male;43;8299;35074;1;9,75;14,76;2953,389957;38404,61917;73;yes
Bernice;Female;36;7283;15649;5;10,49;12,5;268,2718653;17399,54759;60;yes
Harmon;Male;18;8787;69234;4;8,99;11;1452,071398;75683,29811;89;yes
Cordula;Female;24;9176;45342;5;9,75;11,76;763,9260202;49724,83558;80;yes
Den;Male;60;9298;96432;2;8,99;12;4039,994591;105054,2809;85;yes
Drusy;Female;42;5205;36790;2;9,75;12,76;1546,118944;40303,1125;35;no
Chen;Male;37;8049;65387;3;8,99;11;1827,829976;71425,86494;87;yes
Cecile;Female;39;11136;35437;1;9,75;14,76;2983,883757;38798,24147;83;yes
Odetta;Female;43;5950;14470;3;10,49;12,5;410,112263;16089,08977;27;no
Orbadiah;Male;29;9072;39191;2;9,75;12,76;1646,565385;42909,12096;75;yes
Carlita;Female;53;7383;10610;2;10,49;13,5;451,007197;11886,26962;55;yes
Kristos;Male;22;1745;48756;5;9,75;11,76;820,9183327;53440,84327;40;no
Michal;Male;41;1272;76538;1;8,99;14;6432,594452;83373,05265;43;no
Doll;Female;43;9096;119891;2;8,99;12;5021,100657;130520,3866;85;yes
Adrianne;Female;58;11827;109226;2;8,99;12;4575,067314;118942,9103;95;yes
Ring;Male;18;1531;9813;3;10,49;12,5;280,3753032;11030,68804;27;no
George;Female;57;2762;81496;2;8,99;12;3415,3388;88840,38617;45;no
Homere;Male;33;11346;65463;4;8,99;11;1373,362032;71581,26947;99;yes
Elijah;Male;39;11066;57759;1;8,99;14;4856,041129;63008,24722;93;yes
Clayson;Male;58;9125;67650;5;8,99;11;1136,186843;74035,50056;90;yes
Janaya;Female;29;11439;86603;4;8,99;11;1814,60202;94576,9962;99;yes
Pauline;Female;30;5041;38450;5;9,75;11,76;648,872998;42223,15865;40;no
Keene;Male;57;2017;75723;5;8,99;11;1270,938143;82826,15045;50;no
Robena;Female;35;3721;46081;5;9,75;11,76;776,262669;50529,20865;40;no
Maryjo;Female;33;11540;67697;1;8,99;14;5690,366009;73785,46839;93;yes
Rayner;Male;60;9596;37495;1;9,75;14,76;3156,765964;41029,85224;73;yes
Stephanie;Female;48;11561;32656;5;9,75;11,76;552,1496651;35916,6125;90;yes
Angelique;Female;51;1897;56291;1;8,99;14;4732,79813;61416,28096;43;no
Oralee;Female;58;2759;33428;1;9,75;14,76;2815,117793;36619,76429;33;no
Holly;Male;38;6856;54461;2;8,99;12;2284,676689;59492,3249;75;yes
Aurore;Female;22;2931;45761;1;9,75;14,76;3851,150961;49993,16353;33;no
Waylon;Male;18;11810;78812;2;8,99;12;3303,088121;85926,74843;95;yes
Corey;Female;57;6077;5285;1;10,49;15,5;451,2332788;6102,328965;53;no
Guinevere;Female;59;10134;28483;2;9,75;12,76;1198,5935;31286,8225;85;yes
Vladamir;Male;31;11833;115342;1;8,99;14;9690,306531;125453,8828;93;yes
Perceval;Male;41;5389;84537;1;8,99;14;7104,134472;92047,53365;43;no
Shaina;Female;36;9626;76214;5;8,99;11;1279,133719;83360,79792;90;yes
Savina;Female;25;4878;35283;4;9,75;11,76;743,552569;38739,81327;39;no
Kalinda;Female;44;10028;11154;1;10,49;15,5;944,5549653;12466,00715;73;yes
Luce;Male;42;9411;87558;2;8,99;12;3668,864738;95421,03893;85;yes
Normie;Male;30;1303;83628;5;8,99;11;1402,885253;91433,86596;50;no
Rubia;Female;38;8592;73701;3;8,99;11;2059,349703;80460,44244;87;yes
Iolande;Female;22;4240;39600;2;9,75;12,76;1663,676004;43353,04327;35;no
Fredelia;Female;34;11640;62538;5;8,99;11;1050,859376;68469,06897;100;yes
Leshia;Female;46;2321;22707;5;9,75;11,76;386,0639835;25087,50865;40;no
Rossie;Male;58;10594;62033;5;8,99;11;1042,430118;67919,17696;100;yes
Virge;Male;57;11402;91184;5;8,99;11;1529,006994;99661,5571;100;yes
Mendie;Male;51;7748;9938;1;10,49;15,5;842,3434862;11147,51462;53;no
Chrissie;Female;46;8797;114393;4;8,99;11;2394,642667;124806,478;89;yes
Sayre;Male;39;11093;27081;3;9,75;11,76;761,2818408;29792,88865;87;yes
Gunther;Male;51;11833;68143;2;8,99;12;2856,88749;74344,92983;95;yes
Dunn;Male;33;10869;58727;4;8,99;11;1232,766357;64253,96505;99;yes
Shirlee;Female;35;5053;12841;5;10,49;12,5;221,3901861;14344,16341;30;no
Kristi;Female;36;1968;44099;5;9,75;11,76;743,1757436;48371,87788;40;no
Chester;Male;52;4686;118108;2;8,99;12;4946,531744;128584,8367;45;no
Tabbie;Male;48;2208;102802;1;8,99;14;8637,535954;111854,934;43;no
Abramo;Male;20;1890;54485;3;8,99;11;1524,242284;59578,98452;47;no
Fielding;Male;35;10305;83063;5;8,99;11;1393,454498;90818,64025;100;yes
Wainwright;Male;21;4895;21327;4;9,75;11,76;452,2131803;23563,55788;39;no
Kellen;Female;50;1049;55499;5;8,99;11;933,3671932;60804,33658;50;no
Law;Male;53;5736;12550;2;10,49;13,5;532,1923018;13991,63505;25;no
Desmond;Male;41;11883;16509;3;10,49;12,5;466,9157118;18303,8377;77;yes
Raddy;Male;42;7475;66196;4;8,99;11;1388,661413;72378,6142;79;yes
Vanny;Female;43;11431;51706;2;8,99;12;2169,456636;56501,61253;95;yes
Kareem;Male;53;3377;97554;4;8,99;11;2043,174353;106489,3048;49;no
Marilee;Female;45;3898;104741;2;8,99;12;4387,494924;114074,1825;45;no
Leupold;Male;50;4630;17991;3;10,49;12,5;508,201985;19913,57603;27;no
Sylvan;Male;60;10659;73910;5;8,99;11;1240,676269;80851,98369;100;yes
Tybi;Female;48;6456;74160;3;8,99;11;2072,131463;80959,22414;77;yes
Neely;Female;47;11165;119381;1;8,99;14;10029,39268;129833,9589;93;yes
Doe;Female;23;9404;19953;5;10,49;12,5;340,1303935;22082,72903;70;yes
Chandra;Female;25;5104;35862;1;9,75;14,76;3019,585865;39259,09404;33;no
Pippa;Female;22;5135;51394;2;8,99;12;2156,408122;56162,91843;45;no
Charles;Male;20;7725;45836;5;9,75;11,76;772,172711;50262,53558;70;yes
Steve;Male;20;2551;110886;3;8,99;11;3094,839367;120868,2803;47;no
Marcela;Female;49;1794;76018;4;8,99;11;1593,668942;83062,81609;49;no
Junina;Female;31;2365;91007;3;8,99;11;2541,269405;99266,35994;47;no
Jeanna;Female;56;7297;87897;3;8,99;11;2454,665321;95886,81507;77;yes
Lynnett;Female;53;7332;122646;2;8,99;12;5136,320709;133511,099;75;yes
Gianina;Female;38;5640;111179;5;8,99;11;1862,755566;121434,014;50;no
Erskine;Male;58;4077;22328;2;9,75;12,76;941,0975205;24606,28019;35;no
Corella;Female;31;8390;41554;5;9,75;11,76;700,6902617;45601,74327;80;yes
Merill;Male;40;1948;80791;1;8,99;14;6789,646547;87985,20013;43;no
Mellicent;Female;33;10545;9315;3;10,49;12,5;266,5017782;10489,76382;77;yes
Diana;Female;26;6905;43243;4;9,75;11,76;909,7220685;47395,80301;69;yes
Madison;Male;35;4251;20969;1;9,75;14,76;1768,5;23109,73583;33;no
Hamlen;Male;43;5648;24340;2;9,75;12,76;1025,270049;26790,07404;35;no
Selene;Female;43;11520;47451;3;9,75;11,76;1328,6435;51923,06558;87;yes
Clea;Female;53;3206;69051;2;8,99;12;2894,862012;75330,61652;45;no
Leonanie;Female;19;10037;112904;5;8,99;11;1891,548579;123312,358;100;yes
Mariana;Female;35;3206;87798;1;8,99;14;7377,905194;95583,91101;43;no
Jarib;Male;56;10203;65320;3;8,99;11;1825,964229;71353,05803;97;yes
Torr;Male;59;1594;4864;1;10,49;15,5;415,8459164;5645,844297;23;no
Sylvester;Male;30;6368;119258;1;8,99;14;10019,06647;129700,5721;73;yes
Aime;Female;46;1115;37130;2;9,75;12,76;1560,34293;40672,14327;35;no
Stanislaw;Male;55;11618;35722;5;9,75;11,76;603,3325679;39253,83558;90;yes
Dylan;Male;42;5242;43232;2;9,75;12,76;1815,621641;47295,16019;35;no
Julita;Female;34;7637;75234;4;8,99;11;1577,305075;82209,99444;79;yes
Herby;Male;37;8001;59483;4;8,99;11;1248,545801;65076,32879;89;yes
Corrie;Male;33;4379;12136;4;10,49;12,5;260,3846746;13565,48395;29;no
Timothy;Male;49;6939;83802;3;8,99;11;2340,63197;91436,89989;77;yes
Gilberto;Male;28;1974;7016;1;10,49;15,5;596,7333366;7979,229108;23;no
Alyssa;Female;25;5626;50555;4;8,99;11;1062,198089;55364,60465;49;no
Joletta;Female;46;1960;62472;1;8,99;14;5251,711602;68119,23971;43;no
Jillene;Female;54;5928;29373;2;9,75;12,76;1235,826875;32252,81481;35;no
Wallace;Male;45;4055;17273;4;10,49;12,5;367,638883;19150,15547;29;no
Iosep;Male;20;9950;83155;1;8,99;14;6988,11143;90548,82972;83;yes
Risa;Female;56;2290;14052;1;10,49;15,5;1188,147783;15608,26978;23;no
